DISTRICTE,date,source,value,window_7d_mean,window_30d_mean,District
02,2018-01-26,vri,0.0428177618128259,0.0417502850452016,0.0413837762150225,Eixample
01,2018-01-26,vri,0.034042033215284,0.0331226984832156,0.0327764411050028,Ciutat Vella
08,2018-01-26,vri,0.0267612295892255,0.0261266647943822,0.0258757426425616,Nou Barris
10,2018-01-26,vri,0.0355561011989975,0.0346992794381015,0.0343716029824951,Sant Martí
09,2018-01-26,vri,0.0245879150698291,0.0240108060883498,0.0237304045267662,Sant Andreu
05,2018-01-27,vri,0.0235697199090069,0.0237723839017324,0.0236965330712755,Sarrià-Sant Gervasi
03,2018-01-27,vri,0.0275354939502419,0.0276835200756255,0.0275876626478616,Sants-Montjuïc
04,2018-01-27,vri,0.0462683588864917,0.0466893823745861,0.0465572770945882,Les Corts
07,2018-01-27,vri,0.0301486200243775,0.0303833625194045,0.0302832211916222,Horta-Guinardó
06,2018-01-27,vri,0.0477508754618475,0.0481808677742808,0.0480476824562879,Gràcia
02,2018-01-27,vri,0.0411115881464435,0.0414939415280687,0.0413389650797367,Eixample
01,2018-01-27,vri,0.0325490444938094,0.0329335405098717,0.0327388094115621,Ciutat Vella
08,2018-01-27,vri,0.0257534180640991,0.0259667101579285,0.0258448586466044,Nou Barris
10,2018-01-27,vri,0.0341745836367319,0.0345007655749798,0.0343325600965524,Sant Martí
09,2018-01-27,vri,0.0236614964386299,0.0238609449988975,0.0237026949815192,Sant Andreu
05,2018-01-28,vri,0.0237577336703041,0.023796847692433,0.0236486359477556,Sarrià-Sant Gervasi
03,2018-01-28,vri,0.0277018760153605,0.0277067141101608,0.0275264499189835,Sants-Montjuïc
04,2018-01-28,vri,0.0468360301629688,0.0467612213529328,0.0464474226083446,Les Corts
07,2018-01-28,vri,0.0303595337311727,0.0304110382727413,0.0302197509230719,Horta-Guinardó
06,2018-01-28,vri,0.0481753262726788,0.0482140925531676,0.047957296546454,Gràcia
02,2018-01-28,vri,0.0415942240673047,0.0415533073394911,0.0412430655921655,Eixample
01,2018-01-28,vri,0.0331254057884959,0.0329802605396599,0.0326604282925624,Ciutat Vella
08,2018-01-28,vri,0.0259323272611948,0.0260035019106449,0.0257881667750673,Nou Barris
10,2018-01-28,vri,0.0345204055463661,0.0345358293942626,0.0342578974338226,Sant Martí
09,2018-01-28,vri,0.023842985080115,0.0238828690696423,0.0236489681174233,Sant Andreu
05,2018-01-29,vri,0.0237226797976225,0.0237825801024349,0.0236373590298439,Sarrià-Sant Gervasi
03,2018-01-29,vri,0.0275390302479661,0.0277040513502386,0.0275149842736522,Sants-Montjuïc
04,2018-01-29,vri,0.0465799146478363,0.0467772735661651,0.0464336721107657,Les Corts
07,2018-01-29,vri,0.0303077702884008,0.0303876060023204,0.0302012461410928,Horta-Guinardó
06,2018-01-29,vri,0.0481255282919342,0.0481936234854491,0.0479324124670793,Gràcia
02,2018-01-29,vri,0.041412325445614,0.0415597803849653,0.0412268015955197,Eixample
01,2018-01-29,vri,0.0328773443641661,0.0329974167810248,0.0326496071652848,Ciutat Vella
08,2018-01-29,vri,0.0258727105545089,0.0259863801131858,0.0257669698199925,Nou Barris
10,2018-01-29,vri,0.0344054663979895,0.0345215307977702,0.034238154849534,Sant Martí
09,2018-01-29,vri,0.0237966407962861,0.0238611535438121,0.0236300092151822,Sant Andreu
05,2018-01-30,vri,0.0232694484536321,0.0236214633855656,0.0236217208793614,Sarrià-Sant Gervasi
03,2018-01-30,vri,0.0270816954176784,0.0275451259148537,0.0274906387852702,Sants-Montjuïc
04,2018-01-30,vri,0.0457103397479156,0.0464957091159928,0.0464083157962658,Les Corts
07,2018-01-30,vri,0.0297028867211795,0.0301776817682311,0.0301803396235258,Horta-Guinardó
06,2018-01-30,vri,0.0471616222207607,0.0478541721472291,0.0479036098316234,Gràcia
02,2018-01-30,vri,0.0405289669899838,0.0412906891938444,0.0412033507631763,Eixample
01,2018-01-30,vri,0.0321558304916825,0.0327907951640015,0.0326239005949544,Ciutat Vella
08,2018-01-30,vri,0.0254380713817202,0.0258147279590317,0.0257441946186514,Nou Barris
10,2018-01-30,vri,0.0338118833772848,0.0342808639705329,0.0342131830440276,Sant Martí
09,2018-01-30,vri,0.0233257150100206,0.0236871988156504,0.0236086321676087,Sant Andreu
05,2018-01-31,vri,0.0241851954925548,0.0235760032085999,0.0235666711006154,Sarrià-Sant Gervasi
03,2018-01-31,vri,0.0280716295093738,0.0274783732537646,0.0274265291625126,Sants-Montjuïc
04,2018-01-31,vri,0.0476269599074913,0.0464080873494978,0.046306635403536,Les Corts
07,2018-01-31,vri,0.030878601247088,0.0301113422750049,0.0301111876982117,Horta-Guinardó
06,2018-01-31,vri,0.048932577843821,0.0477881508044781,0.0477916414882143,Gràcia
02,2018-01-31,vri,0.0423539640027412,0.0412000933890104,0.0411127622067875,Eixample
01,2018-01-31,vri,0.0335738955948212,0.0327046973429863,0.0325514550962421,Ciutat Vella
08,2018-01-31,vri,0.0264607565505622,0.0257372866893977,0.0256822151302407,Nou Barris
10,2018-01-31,vri,0.035125189190243,0.0342022904263828,0.0341318185280676,Sant Martí
09,2018-01-31,vri,0.024240830235412,0.0236071610977517,0.0235492961697032,Sant Andreu
05,2018-02-01,vri,0.0234805297494049,0.0233390108505219,0.0235627120312172,Sarrià-Sant Gervasi
03,2018-02-01,vri,0.0274209130459986,0.0271952090033229,0.0274216503364848,Sants-Montjuïc
04,2018-02-01,vri,0.0462532480220721,0.0458962002250735,0.0463093645484356,Les Corts
07,2018-02-01,vri,0.0300029279094822,0.0298057714932342,0.0301075288581561,Horta-Guinardó
06,2018-02-01,vri,0.0475321949846039,0.0473085131465273,0.047789548488867,Gràcia
02,2018-02-01,vri,0.0410996322298438,0.040748135989027,0.0411101931138072,Eixample
01,2018-02-01,vri,0.0326583635189143,0.0323128293807605,0.0325482669462982,Ciutat Vella
08,2018-02-01,vri,0.0256861473909901,0.0254574494583588,0.0256782421104937,Nou Barris
10,2018-02-01,vri,0.0340570862367783,0.0338279593125748,0.0341254425874631,Sant Martí
09,2018-02-01,vri,0.0235724921763924,0.0233387623802656,0.0235401466145013,Sant Andreu
05,2018-02-02,vri,0.0233649366264338,0.0232650448006558,0.023496744132441,Sarrià-Sant Gervasi
